Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes,Date_added
88985315511,Various,Singles - Original Motion Picture Soundtrack,"Epic Soundtrax, Legacy, Vinyl Films","2xLP, Comp, RE, Whi + CD, Comp + Comp, Dlx, Ltd",,2017,10224784,,2017-07-25 12:03:48
88985315511,Various,Singles - Original Motion Picture Soundtrack,"Epic Soundtrax, Legacy, Vinyl Films","2xLP, Comp, RE + CD, Comp, Dlx, Car",,2017,10306866,,2017-07-25 12:03:59
E 45389,Suicidal Tendencies,Lights Camera Revolution,"Epic, CBS","LP, Album",,1990,3250026,,2017-05-02 14:56:58
"EPC 467859 1 , 467859 1",Ozzy Osbourne,No More Tears,"Epic, Epic","LP, Album",,1991,389504,,2017-05-23 08:26:03
"EPC 471438 1, 471438 1",Various,Singles (Original Motion Picture Soundtrack),"Epic, Epic Soundtrax","LP, Comp",,1992,1112235,,2017-07-25 12:03:32
B0004603-01,Audioslave,Out Of Exile,"Epic, Interscope Records","2xLP, Album, Blu",,2005,890214,,2017-10-14 15:44:26
68517,Harmonium,Les Cinq Saisons,Gamma,"LP, Album, Gat",,1977,4998658,,2017-05-28 01:22:10
7.8517,Harmonium,Les Cinq Saisons,Gamma,"LP, Album",,1977,3186252,,2017-05-28 01:22:16
"8.517, 8517",Harmonium,Les Cinq Saisons,"Gamma, Gamma","LP, Album, Gat",,1977,9864380,,2017-05-28 01:22:31
"8517, 190031",Harmonium,Les Cinq Saisons,"Gamma, Gamma","LP, RE",,1977,8099978,,2017-05-28 01:22:27
"8517, 8.517",Harmonium,Les Cinq Saisons,"Gamma, Gamma","LP, RE, Gat",,1977,1950350,,2017-05-28 01:22:13
"XGHS 24198, R 100805",Guns N' Roses,G N' R Lies,"Geffen Records, BMG Direct Marketing, Inc.","LP, Album, Club",,1988,1381943,,2017-10-03 03:02:19
"924 198-1, GEF 24198",Guns N' Roses,G N' R Lies,"Geffen Records, Geffen Records","LP, Album",,1988,6105552,,2017-10-03 03:02:00
"924 198-1, WX 218, none",Guns N' Roses,G N' R Lies,"Geffen Records, Geffen Records, Uzi Suicide","LP, Album, 1st",,1988,1353626,,2017-10-03 03:01:40
"GEF 24198, GEF 24 198, none",Guns N' Roses,G N' R Lies,"Geffen Records, Geffen Records, Uzi Suicide Records","LP, Album",,1988,3156141,,2017-10-03 03:01:58
"924 198-1, WX 218",Guns N' Roses,G N' R Lies,"Geffen Records, Geffen Records, Uzi Suicide, Uzi Suicide","LP, Album",,1988,408199,,2017-10-03 03:01:38
GHS 24198,Guns N' Roses,G N' R Lies,"Geffen Records, Uzi Suicide Records","LP, Album, 1st",,1988,8138085,,2016-12-22 06:42:22
GHS 24198,Guns N' Roses,G N' R Lies,"Geffen Records, Uzi Suicide Records","LP, Album",,1988,1647920,,2017-10-03 03:02:22
HSLP314,Siena Root,Different Realities,Headspin Records,"LP, Album, Ltd, Yel",,2009,1995246,,2017-02-25 03:58:00
HSLP314,Siena Root,Different Realities,Headspin Records,"LP, Album, Gat",,2009,1995247,,2017-02-25 03:58:14
HVNLP101,Mark Lanegan,Imitations,Heavenly,"LP, Album + CD, Album",,2013,4917297,,2017-09-09 11:30:44
HR016,Baroness,Red Album,Hyperrealist,"2xLP, Album, Etch, Ltd, Red",,2008,1529917,,2017-04-09 13:23:00
600753388877,Audioslave,Out Of Exile,Interscope Records,"2xLP, Album, RE",,2012,3852730,,2017-04-25 05:30:00
493 435-1,Queens Of The Stone Age,Songs For The Deaf,Interscope Records,2xLP,,2002,3845829,,2017-11-30 01:48:19
493 435-1,Queens Of The Stone Age,Songs For The Deaf,Interscope Records,"2xLP, Album",,2002,545897,,2017-11-30 01:48:26
"B0017874-01, STDHT-ST01",Marilyn Manson,Antichrist Superstar,"Interscope Records, Universal Music Special Markets","2xLP, Album, Ltd, RE, Red",,2013,4314761,,2017-09-25 02:59:14
"IPC-41, none",Queens Of The Stone Age,Songs For The Deaf,"Ipecac Recordings, Rekords Rekords","2xLP, Album, Ltd, Red",,2003,577250,,2017-04-03 06:14:36
6396013,King Crimson,Islands,Island Records,"LP, Album",,1971,1609667,,2017-10-02 02:03:38
88985315511,Various,Singles (Original Motion Picture Soundtrack),"Legacy, Epic Soundtrax, Vinyl Films","2xLP, RE, Gat + CD + Comp, Dlx",,2017,10302224,,2017-07-25 12:03:55
MT 44002,Caravan,"If I Could Do It All Over Again, I'd Do It All Over You",Les Disques Motors,"LP, Album",,1970,6181800,,2017-10-02 01:50:20
MT 44007,Caravan,In The Land Of Grey And Pink,Les Disques Motors,"LP, Album, Gat",,1971,7626882,,2017-10-02 01:51:24
"MTO 77.010, MTO 77010",Caravan,"If I Could Do It All Over Again, I'd Do It All Over You","Les Disques Motors, Les Disques Motors","LP, Album, RE",,1979,4052633,,2017-10-02 01:50:43
LITA 0018,The Black Angels,Passover,Light In The Attic,"LP, Blu + LP, Gre + Album, Ltd",,2016,8695973,,2017-11-10 01:48:23
LITA 018,The Black Angels,Passover,Light In The Attic,"2xLP, Album, Emb",,2006,744615,,2017-11-10 01:42:12
LITA 018,The Black Angels,Passover,Light In The Attic,"LP, Album",,2006,10217122,,2017-11-10 02:03:06
LITA 033,The Black Angels,Directions To See A Ghost,Light In The Attic,"3xLP, Album",,2008,1495678,,2017-11-10 02:03:44
"LITA 0018, LITA 018",The Black Angels,Passover,"Light In The Attic, Light In The Attic","2xLP, Album, RE",,2009,1932545,,2017-11-10 01:42:56
LNPD-45,Walking Papers,Walking Papers,Loud & Proud Records,"2xLP, Album, Cle",,2013,5126726,,2017-12-01 00:21:01
LDP-1973,Brant Bjork,Punk Rock Guilt,Low Desert Punk,"LP + LP, Whi + , Album, Ltd",,2008,1350696,,2017-06-19 13:15:26
LDP-1973,Brant Bjork,Punk Rock Guilt,Low Desert Punk,"2xLP, Album, RP, Blu",,2008,1492896,,2017-06-19 13:15:31
LDP-1973,Brant Bjork,Punk Rock Guilt,Low Desert Punk,"2xLP, Album",,2008,1745519,,2017-06-19 13:15:33
LDP-1973,Brant Bjork,Punk Rock Guilt,Low Desert Punk,"2xLP, Album, Ltd, Gre",,2008,1745528,,2017-06-19 13:15:37
LDP-1973,Brant Bjork,Punk Rock Guilt,Low Desert Punk,"LP, Gre + LP, Whi + , Album, Ltd",,2008,2257140,,2017-06-19 13:15:41
LDP-1973,Brant Bjork,Punk Rock Guilt,Low Desert Punk,"LP, Gre + LP + Album, Ltd",,2008,8436181,,2017-06-19 13:15:49
LDP-1973,Brant Bjork,Punk Rock Guilt,Low Desert Punk,"LP, Album, Ltd, Bla + LP, Album, Ltd, Pur",,2008,10084117,,2017-06-19 13:15:55
MOR - 007LP,Sasquatch (6),Maneuvers,Mad Oak Records,"LP, Album, 180",,2017,10475405,,2017-12-04 12:50:13
251111,Crackmind,Because All Collapses,Mausoleum Records,"CD, Album",5,2010,4973480,,2017-03-09 09:31:30
3984-15312-1,Death (2),Symbolic,Metal Blade Records,"LP, Album, RE, Whi",,2014,6326011,,2017-09-14 12:51:37
3984-15312-1,Death (2),Symbolic,Metal Blade Records,"LP, Album, RE, 180",,2014,7815980,,2017-09-14 12:51:45
